features,n_features,score,removed_feature,phase
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.46003353293413174,Avg_Away_AwayWins,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.4600279441117765,Avg_Away_Shots,base
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.45963353293413167,Away_Trend,base
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.45962634730538915,Avg_Home_Red,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.4592447105788423,Avg_Total_Shots,additional
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.45923512974051894,Avg_Home_ShotsOnTarget,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.4584311377245509,Avg_Total_Red,additional
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.458039121756487,Away_Trend,base
"['Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.45802634730538916,Avg_Home_Goals,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow']",19,0.4576367265469061,Avg_Total_Trend,additional
