Gameday;Date;HomeTeam;AwayTeam
31.;27.04.2025;Kaiserslautern;Schalke 04 
31.;27.04.2025;Fortuna Dusseldorf;Nurnberg
31.;27.04.2025;Hamburg;Karlsruhe
31.;27.04.2025;Hannover;FC Koln
31.;27.04.2025;Hertha;Magdeburg
31.;27.04.2025;Preußen Münster;Darmstadt
31.;27.04.2025;Paderborn;Elversberg
31.;27.04.2025;Greuther Furth;Ulm
31.;27.04.2025;Regensburg;Braunschweig
32.;04.05.2025;FC Koln;Regensburg
32.;04.05.2025;Magdeburg;Preußen Münster
32.;04.05.2025;Nurnberg;Elversberg
32.;04.05.2025;Braunschweig;Fortuna Dusseldorf
32.;04.05.2025;Schalke 04;Paderborn
32.;04.05.2025;Hertha;Greuther Furth
32.;04.05.2025;Karlsruhe;Kaiserslautern
32.;04.05.2025;Ulm;Hannover
32.;04.05.2025;Darmstadt;Hamburg
33.;11.05.2025;Kaiserslautern;Darmstadt
33.;11.05.2025;Nurnberg;FC Koln
33.;11.05.2025;Fortuna Dusseldorf;Schalke 04 
33.;11.05.2025;Hamburg;Ulm
33.;11.05.2025;Hannover;Greuther Furth
33.;11.05.2025;Preußen Münster;Hertha
33.;11.05.2025;Paderborn;Magdeburg
33.;11.05.2025;Regensburg;Karlsruhe
33.;11.05.2025;Elversberg;Braunschweig
34.;18.05.2025;FC Koln;Kaiserslautern
34.;18.05.2025;Magdeburg;Fortuna Dusseldorf
34.;18.05.2025;Braunschweig;Nurnberg
34.;18.05.2025;Schalke 04;Elversberg
34.;18.05.2025;Hertha;Hannover
34.;18.05.2025;Karlsruhe;Paderborn
34.;18.05.2025;Greuther Furth;Hamburg
34.;18.05.2025;Ulm;Preußen Münster
34.;18.05.2025;Darmstadt;Regensburg

