Index;Season;Date;HomeTeam;AwayTeam;HomeTeamGoals;AwayTeamGoals;Result;HomeTeamShots;AwayTeamShots;HomeTeamShotsOnTarget;AwayTeamShotsOnTarget;HomeTeamCorners;AwayTeamCorners;HomeTeamYellow;AwayTeamYellow;HomeTeamRed;AwayTeamRed;HomeTeamFouls;AwayTeamFouls;Gameday
119;2017;17/11/17;Bielefeld;Braunschweig;2;2;D;20;11;6;5;10;8;2;2;0;0;22;17;14
120;2017;18/11/17;Bochum;Greuther Furth;1;1;D;8;12;3;3;5;3;1;4;0;0;14;24;14
121;2017;18/11/17;Heidenheim;Union Berlin;4;3;H;20;14;11;9;8;3;2;2;0;0;15;11;14
122;2017;18/11/17;Nurnberg;Holstein Kiel;2;2;D;18;10;6;4;4;6;1;2;0;0;12;17;14
123;2017;19/11/17;Duisburg;Erzgebirge Aue;3;0;H;18;8;9;2;5;4;1;3;0;0;15;14;14
124;2017;19/11/17;Ingolstadt;Fortuna Dusseldorf;1;0;H;16;10;5;3;5;7;5;3;0;0;21;13;14
125;2017;19/11/17;St Pauli;Regensburg;2;2;D;15;11;5;2;4;8;2;5;0;0;11;26;14
126;2017;20/11/17;Dresden;Kaiserslautern;1;2;A;16;8;6;4;3;3;1;1;0;0;10;13;14
127;2017;24/11/17;Union Berlin;Darmstadt;3;3;D;11;9;6;7;5;2;2;4;0;0;17;18;15
128;2017;24/11/17;Sandhausen;Heidenheim;1;2;A;22;16;7;3;6;9;1;1;0;0;22;14;15
129;2017;25/11/17;Holstein Kiel;Ingolstadt;0;0;D;6;17;0;7;2;9;1;2;0;0;13;15;15
130;2017;25/11/17;Regensburg;Duisburg;4;0;H;13;10;6;5;3;2;2;2;0;0;17;11;15
131;2017;25/11/17;Braunschweig;Nurnberg;2;3;A;15;14;7;6;6;4;2;5;0;0;9;13;15
132;2017;26/11/17;Erzgebirge Aue;Bochum;1;1;D;17;11;7;4;3;2;1;3;0;0;12;16;15
133;2017;26/11/17;Greuther Furth;St Pauli;4;0;H;18;9;8;4;3;3;2;5;0;1;12;15;15
134;2017;26/11/17;Kaiserslautern;Bielefeld;0;2;A;7;13;2;5;8;5;2;1;0;0;19;15;15
135;2017;27/11/17;Fortuna Dusseldorf;Dresden;1;3;A;9;13;4;6;2;2;2;1;0;0;14;15;15
136;2017;01/12/17;Bielefeld;St Pauli;5;0;H;15;11;7;2;4;1;1;1;0;0;12;11;16
137;2017;01/12/17;Heidenheim;Kaiserslautern;3;2;H;14;15;6;5;5;7;2;3;0;1;12;21;16
138;2017;02/12/17;Duisburg;Greuther Furth;2;0;H;9;19;6;5;5;1;2;3;0;0;11;10;16
139;2017;02/12/17;Nurnberg;Sandhausen;1;0;H;22;11;9;2;7;1;2;3;0;0;17;16;16
140;2017;02/12/17;Holstein Kiel;Fortuna Dusseldorf;2;2;D;21;12;8;9;5;1;1;2;0;0;16;15;16
141;2017;03/12/17;Dresden;Erzgebirge Aue;4;0;H;12;7;8;1;9;3;2;2;0;0;11;9;16
142;2017;03/12/17;Darmstadt;Regensburg;0;1;A;9;12;3;5;2;5;2;1;0;0;20;16;16
143;2017;03/12/17;Bochum;Union Berlin;2;1;H;20;9;9;2;5;0;2;2;0;0;16;14;16
